titles,genres
Double Impact,"['Action', 'Comedy', 'Crime']"
Lucky Luke,"['Comedy', 'Western']"
Speed,"['Action', 'Crime', 'Thriller']"
Izo,"['Action', 'Drama', 'Fantasy']"
Futurama: Bender's Game,"['Animation', 'Action', 'Adventure']"
The Three Musketeers,"['Action', 'Adventure', 'Comedy']"
The Recruit,"['Action', 'Crime', 'Drama']"
Action Jackson,"['Action', 'Comedy', 'Crime']"
Hereafter,"['Drama', 'Fantasy']"
Brutal Relax,"['Short', 'Action', 'Comedy']"
Northpole,['Fantasy']
Snow White and the Huntsman,"['Action', 'Adventure', 'Drama']"
Admiral,"['Action', 'Adventure', 'Biography']"
They Live,"['Action', 'Horror', 'Sci-Fi']"
Mermaid,"['Animation', 'Short', 'Fantasy']"
The Stool Pigeon,"['Action', 'Drama', 'Thriller']"
Dead Man's Burden,"['Drama', 'Western']"
Tamara,"['Horror', 'Fantasy', 'Thriller']"
Battle of Britain,"['Action', 'Drama', 'History']"
Connected,['Action']
Twilight,"['Drama', 'Fantasy', 'Romance']"
The Shootist,"['Drama', 'Western']"
Bounty Hunters,['Action']
Charlie's Angels: Full Throttle,"['Action', 'Adventure', 'Comedy']"
Underworld: Evolution,"['Action', 'Fantasy', 'Sci-Fi']"
The Guardian,"['Action', 'Adventure', 'Drama']"
5ive Days to Midnight,"['Action', 'Drama', 'Thriller']"
Jungle,"['Action', 'Romance', 'Thriller']"
Eagle Eye,"['Action', 'Mystery', 'Thriller']"
Backdraft,"['Action', 'Crime', 'Drama']"
Monster Brawl,"['Action', 'Comedy', 'Horror']"
Kiss of Death,"['Action', 'Crime', 'Thriller']"
Death Becomes Her,"['Comedy', 'Fantasy']"
Jesus Christ Vampire Hunter,"['Action', 'Comedy', 'Horror']"
Ucieczka z kina 'Wolnosc',"['Comedy', 'Drama', 'Fantasy']"
Pete's Dragon,"['Adventure', 'Family', 'Fantasy']"
G.I. Joe: Retaliation,"['Action', 'Adventure', 'Sci-Fi']"
Action Jackson,"['Action', 'Comedy', 'Drama']"
Dances with Wolves,"['Adventure', 'Drama', 'Western']"
The Jackal,"['Action', 'Adventure', 'Crime']"
Kill Bill: Vol. 2,"['Action', 'Crime', 'Thriller']"
Turn It Up,"['Crime', 'Drama', 'Action']"
Detective Dee: Mystery of the Phantom Flame,"['Action', 'Adventure', 'Drama']"
A Dark Truth,"['Action', 'Thriller']"
Helen of Troy,"['Action', 'Adventure', 'Drama']"
Babine,"['Adventure', 'Drama', 'Fantasy']"
Ashura-jè no hitomi,"['Action', 'Fantasy']"
Fighting,"['Action', 'Drama', 'Sport']"
Immortal (Ad Vitam),"['Animation', 'Action', 'Crime']"
Hell Ride,"['Action', 'Drama', 'Thriller']"
Nazareno Cruz and the Wolf,"['Drama', 'Horror', 'Fantasy']"
Singham Returns,"['Action', 'Drama']"
Big Trouble in Little China,"['Action', 'Adventure', 'Comedy']"
T-Rex: Back to the Cretaceous,"['Adventure', 'Family', 'Fantasy']"
The Matrix Reloaded,"['Action', 'Sci-Fi']"
The Art of War II: Betrayal,"['Action', 'Thriller']"
Batman: Under the Red Hood,"['Animation', 'Action', 'Crime']"
Kung Fu Panda,"['Animation', 'Action', 'Adventure']"
Jackie Chan's First Strike,"['Action', 'Adventure', 'Comedy']"
At World's End,"['Action', 'Adventure', 'Comedy']"
Cast a Deadly Spell,"['Comedy', 'Fantasy', 'Horror']"
Gupt: The Hidden Truth,"['Action', 'Crime', 'Drama']"
Snow on the Blades,"['Action', 'Drama', 'History']"
Highway to Hell,"['Adventure', 'Comedy', 'Fantasy']"
The Myth,"['Action', 'Adventure', 'Comedy']"
The Thief of Bagdad,"['Adventure', 'Family', 'Fantasy']"
Byzantium,"['Drama', 'Fantasy', 'Horror']"
The Tree of Life,"['Drama', 'Fantasy']"
Spooky Buddies,"['Family', 'Fantasy']"
Becoming Bulletproof,"['Documentary', 'Western']"
Patlabor 2: The Movie,"['Animation', 'Action', 'Drama']"
Percy Jackson: Sea of Monsters,"['Adventure', 'Family', 'Fantasy']"
The Amazing Spider-Man,"['Action', 'Adventure', 'Fantasy']"
That Man from Rio,"['Action', 'Adventure', 'Comedy']"
Radioactive Dreams,"['Action', 'Adventure', 'Comedy']"
Beauty and the Beast,"['Fantasy', 'Romance']"
The Pied Piper,"['Animation', 'Fantasy', 'Horror']"
Old Men in New Cars: In China They Eat Dogs II,"['Action', 'Comedy', 'Crime']"
Mr. Nobody,"['Drama', 'Fantasy', 'Romance']"
The Prodigal Son,"['Action', 'Comedy']"
Gulaab Gang,"['Action', 'Drama']"
Thumbelina,"['Animation', 'Family', 'Fantasy']"
Typhoon,"['Action', 'Drama', 'Thriller']"
